CustomerID,CustomerName,Email,Phone,ConnectionType,TariffCategory,ContractKVA,RegionID
300000,Cust_000000,user0@masked.com,9328069051,Residential,B2,3.39,10153
300001,Cust_000001,user1@masked.com,9328069052,Residential,A1,3.1,10191
300002,Cust_000002,user2@masked.com,9328069053,Residential,A1,4.33,10080
300003,Cust_000003,user3@masked.com,9328069054,Residential,A2,6.34,10091
300004,Cust_000004,user4@masked.com,9328069055,Residential,B1,4.8,10081
300005,Cust_000005,user5@masked.com,9328069056,Residential,B2,9.92,10183
300006,Cust_000006,user6@masked.com,9328069057,Residential,A1,4.19,10013
300007,Cust_000007,user7@masked.com,9328069058,Residential,A1,4.81,10076
300008,Cust_000008,user8@masked.com,9328069059,Residential,A2,5.82,10161
300009,Cust_000009,user9@masked.com,9328069060,Residential,A1,3.25,10071
300010,Cust_000010,user10@masked.com,9328069061,Residential,A1,5.61,10082
300011,Cust_000011,user11@masked.com,9328069062,Commercial,B2,47.96,10024
300012,Cust_000012,user12@masked.com,9328069063,Residential,A2,7.87,10109
300013,Cust_000013,user13@masked.com,9328069064,Residential,B1,4.13,10092
300014,Cust_000014,user14@masked.com,9328069065,Residential,B2,8.2,10176
300015,Cust_000015,user15@masked.com,9328069066,Residential,B1,5.31,10160
300016,Cust_000016,user16@masked.com,9328069067,Residential,A2,7.91,10045
300017,Cust_000017,user17@masked.com,9328069068,Residential,A1,8.12,10236
300018,Cust_000018,user18@masked.com,9328069069,Residential,A1,9.28,10125
300019,Cust_000019,user19@masked.com,9328069070,Residential,B1,1.1,10132
300020,Cust_000020,user20@masked.com,9328069071,Residential,C1,1.24,10034
300021,Cust_000021,user21@masked.com,9328069072,Commercial,B1,11.72,10140
300022,Cust_000022,user22@masked.com,9328069073,Residential,A2,7.66,10129
300023,Cust_000023,user23@masked.com,9328069074,Industrial,A2,388.47,10074
300024,Cust_000024,user24@masked.com,9328069075,Residential,C1,6.93,10037
300025,Cust_000025,user25@masked.com,9328069076,Commercial,A2,8.04,10231
300026,Cust_000026,user26@masked.com,9328069077,Residential,C1,1.15,10212
300027,Cust_000027,user27@masked.com,9328069078,Residential,A2,8.75,10081
300028,Cust_000028,user28@masked.com,9328069079,Residential,A2,6.19,10091
300029,Cust_000029,user29@masked.com,9328069080,Residential,A1,1.38,10152
300030,Cust_000030,user30@masked.com,9328069081,Residential,C1,2.2,10145
300031,Cust_000031,user31@masked.com,9328069082,Commercial,A1,33.15,10067
300032,Cust_000032,user32@masked.com,9328069083,Residential,A1,9.65,10070
300033,Cust_000033,user33@masked.com,9328069084,Residential,A1,1.41,10171
300034,Cust_000034,user34@masked.com,9328069085,Residential,B1,9.69,10114
300035,Cust_000035,user35@masked.com,9328069086,Residential,B1,4.05,10192
300036,Cust_000036,user36@masked.com,9328069087,Residential,B1,9.09,10125
300037,Cust_000037,user37@masked.com,9328069088,Residential,A1,2.93,10079
300038,Cust_000038,user38@masked.com,9328069089,Residential,A2,4.87,10096
300039,Cust_000039,user39@masked.com,9328069090,Residential,A2,1.18,10023
300040,Cust_000040,user40@masked.com,9328069091,Residential,A2,6.44,10155
300041,Cust_000041,user41@masked.com,9328069092,Residential,A1,4.65,10070
300042,Cust_000042,user42@masked.com,9328069093,Residential,A2,5.75,10089
300043,Cust_000043,user43@masked.com,9328069094,Residential,A2,8.04,10107
300044,Cust_000044,user44@masked.com,9328069095,Residential,B2,2.47,10138
300045,Cust_000045,user45@masked.com,9328069096,Residential,A2,3.86,10185
300046,Cust_000046,user46@masked.com,9328069097,Residential,A2,9.75,10027
300047,Cust_000047,user47@masked.com,9328069098,Residential,B1,6.11,10044
300048,Cust_000048,user48@masked.com,9328069099,Residential,A2,6.77,10142
300049,Cust_000049,user49@masked.com,9328069100,Residential,A2,5.34,10007
300050,Cust_000050,user50@masked.com,9328069101,Residential,A1,7.17,10183
300051,Cust_000051,user51@masked.com,9328069102,Industrial,A1,243.71,10079
300052,Cust_000052,user52@masked.com,9328069103,Residential,B1,9.54,10192
300053,Cust_000053,user53@masked.com,9328069104,Residential,B2,9.82,10168
300054,Cust_000054,user54@masked.com,9328069105,Commercial,A1,29.06,10027
300055,Cust_000055,user55@masked.com,9328069106,Residential,A2,9.11,10223
300056,Cust_000056,user56@masked.com,9328069107,Residential,B1,4.78,10133
300057,Cust_000057,user57@masked.com,9328069108,Residential,A2,7.38,10181
300058,Cust_000058,user58@masked.com,9328069109,Residential,A2,5,10071
300059,Cust_000059,user59@masked.com,9328069110,Residential,B2,9.63,10178
300060,Cust_000060,user60@masked.com,9328069111,Residential,A2,1.12,10227
300061,Cust_000061,user61@masked.com,9328069112,Residential,A2,3.78,10187
300062,Cust_000062,user62@masked.com,9328069113,Residential,A1,8.36,10001
300063,Cust_000063,user63@masked.com,9328069114,Residential,A1,4.15,10131
300064,Cust_000064,user64@masked.com,9328069115,Residential,A2,7.87,10136
300065,Cust_000065,user65@masked.com,9328069116,Residential,B1,9.53,10215
300066,Cust_000066,user66@masked.com,9328069117,Residential,A2,8.77,10209
300067,Cust_000067,user67@masked.com,9328069118,Industrial,B2,192.88,10068
300068,Cust_000068,user68@masked.com,9328069119,Residential,A2,9.48,10072
300069,Cust_000069,user69@masked.com,9328069120,Residential,A2,8.34,10114
300070,Cust_000070,user70@masked.com,9328069121,Residential,B2,8.33,10160
300071,Cust_000071,user71@masked.com,9328069122,Commercial,A1,16.81,10078
300072,Cust_000072,user72@masked.com,9328069123,Industrial,C1,430.17,10019
300073,Cust_000073,user73@masked.com,9328069124,Residential,A1,1.79,10153
300074,Cust_000074,user74@masked.com,9328069125,Residential,A1,6.88,10117
300075,Cust_000075,user75@masked.com,9328069126,Residential,A2,4.91,10090
300076,Cust_000076,user76@masked.com,9328069127,Residential,A1,5.25,10166
300077,Cust_000077,user77@masked.com,9328069128,Residential,A2,5.12,10187
